epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1678441737853,2023-03-10T10.48.57.853,0.000,-1.005,-0.141,0.107
1678441737932,2023-03-10T10.48.57.932,0.079,-1.009,-0.140,0.050
1678441738012,2023-03-10T10.48.58.012,0.159,-1.014,-0.064,0.004
1678441738093,2023-03-10T10.48.58.093,0.240,-1.027,-0.079,0.064
1678441738172,2023-03-10T10.48.58.172,0.319,-0.992,-0.095,0.287
1678441738252,2023-03-10T10.48.58.252,0.399,-1.002,-0.127,0.230
1678441738333,2023-03-10T10.48.58.333,0.480,-0.988,-0.128,0.146
1678441738412,2023-03-10T10.48.58.412,0.559,-1.008,-0.151,0.030
1678441738493,2023-03-10T10.48.58.493,0.640,-0.995,-0.284,-0.008
1678441738572,2023-03-10T10.48.58.572,0.719,-0.963,-0.284,-0.020
1678441738652,2023-03-10T10.48.58.652,0.799,-1.053,-0.125,0.051
1678441738733,2023-03-10T10.48.58.733,0.880,-0.969,-0.134,0.194
1678441738812,2023-03-10T10.48.58.812,0.959,-0.974,-0.164,0.190
1678441738893,2023-03-10T10.48.58.893,1.040,-1.032,-0.071,0.149
1678441738973,2023-03-10T10.48.58.973,1.120,-1.011,-0.072,0.148
1678441739052,2023-03-10T10.48.59.052,1.199,-1.010,-0.126,0.140
1678441739133,2023-03-10T10.48.59.133,1.280,-1.006,-0.086,0.096
1678441739212,2023-03-10T10.48.59.212,1.359,-1.007,-0.067,0.130
1678441739292,2023-03-10T10.48.59.292,1.439,-1.013,-0.093,0.127
1678441739373,2023-03-10T10.48.59.373,1.520,-1.013,-0.071,0.107
1678441739452,2023-03-10T10.48.59.452,1.599,-1.011,-0.062,0.122
1678441739533,2023-03-10T10.48.59.533,1.680,-1.011,-0.064,0.126
1678441739613,2023-03-10T10.48.59.613,1.760,-1.011,-0.056,0.103
1678441739692,2023-03-10T10.48.59.692,1.839,-1.015,-0.025,0.117
1678441739773,2023-03-10T10.48.59.773,1.920,-1.014,-0.026,0.110
