epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681818228694,2023-04-18T13:43:48.694,0.000,-0.017,-0.002,0.002
1681818228704,2023-04-18T13:43:48.704,0.010,-0.007,0.006,0.013
1681818228715,2023-04-18T13:43:48.715,0.021,0.005,0.010,0.010
1681818228723,2023-04-18T13:43:48.723,0.029,0.016,0.014,-0.000
1681818228734,2023-04-18T13:43:48.734,0.040,0.009,0.008,-0.042
1681818228744,2023-04-18T13:43:48.744,0.050,0.020,-0.018,-0.051
1681818228754,2023-04-18T13:43:48.754,0.060,0.000,-0.044,-0.044
1681818228764,2023-04-18T13:43:48.764,0.070,-0.014,-0.060,-0.063
1681818228773,2023-04-18T13:43:48.773,0.079,-0.031,-0.087,-0.068
1681818228784,2023-04-18T13:43:48.784,0.090,-0.043,-0.138,-0.050
1681818228794,2023-04-18T13:43:48.794,0.100,-0.028,-0.184,-0.052
1681818228804,2023-04-18T13:43:48.804,0.110,-0.003,-0.245,-0.045
1681818228814,2023-04-18T13:43:48.814,0.120,0.023,-0.297,-0.046
1681818228823,2023-04-18T13:43:48.823,0.129,0.033,-0.332,-0.053
1681818228833,2023-04-18T13:43:48.833,0.139,0.025,-0.363,-0.048
1681818228844,2023-04-18T13:43:48.844,0.150,0.024,-0.362,-0.057
1681818228854,2023-04-18T13:43:48.854,0.160,0.029,-0.333,-0.047
1681818228863,2023-04-18T13:43:48.863,0.169,0.013,-0.281,-0.043
1681818228873,2023-04-18T13:43:48.873,0.179,0.002,-0.227,-0.057
1681818228883,2023-04-18T13:43:48.883,0.189,0.003,-0.186,-0.059
1681818228893,2023-04-18T13:43:48.893,0.199,0.004,-0.157,-0.047
1681818228904,2023-04-18T13:43:48.904,0.210,0.017,-0.148,-0.046
1681818228912,2023-04-18T13:43:48.912,0.218,0.043,-0.157,-0.047
1681818228923,2023-04-18T13:43:48.923,0.229,0.047,-0.163,-0.036
1681818228933,2023-04-18T13:43:48.933,0.239,0.038,-0.171,-0.041
1681818228943,2023-04-18T13:43:48.943,0.249,0.041,-0.183,-0.043
1681818228953,2023-04-18T13:43:48.953,0.259,0.032,-0.196,-0.036
1681818228962,2023-04-18T13:43:48.962,0.268,0.023,-0.202,-0.029
1681818228972,2023-04-18T13:43:48.972,0.278,0.016,-0.200,-0.018
1681818228983,2023-04-18T13:43:48.983,0.289,0.012,-0.190,-0.007
1681818228993,2023-04-18T13:43:48.993,0.299,0.018,-0.174,0.008
1681818229003,2023-04-18T13:43:49.003,0.309,0.022,-0.160,0.036
1681818229012,2023-04-18T13:43:49.012,0.318,0.022,-0.145,0.060
1681818229022,2023-04-18T13:43:49.022,0.328,0.024,-0.122,0.068
1681818229033,2023-04-18T13:43:49.033,0.339,0.017,-0.098,0.064
1681818229043,2023-04-18T13:43:49.043,0.349,-0.008,-0.067,0.048
1681818229053,2023-04-18T13:43:49.053,0.359,-0.039,-0.047,0.056
1681818229062,2023-04-18T13:43:49.062,0.368,-0.077,-0.030,0.042
1681818229072,2023-04-18T13:43:49.072,0.378,-0.103,-0.047,0.018
1681818229082,2023-04-18T13:43:49.082,0.388,-0.128,-0.050,-0.028
1681818229093,2023-04-18T13:43:49.093,0.399,-0.086,-0.037,-0.045
1681818229103,2023-04-18T13:43:49.103,0.409,-0.001,-0.040,0.011
1681818229112,2023-04-18T13:43:49.112,0.418,0.081,-0.058,0.064
1681818229122,2023-04-18T13:43:49.122,0.428,0.187,-0.072,0.071
1681818229132,2023-04-18T13:43:49.132,0.438,0.256,-0.077,0.023
1681818229142,2023-04-18T13:43:49.142,0.448,0.269,-0.062,-0.010
1681818229151,2023-04-18T13:43:49.151,0.457,0.253,-0.060,-0.037
1681818229161,2023-04-18T13:43:49.161,0.467,0.268,-0.068,-0.053
1681818229172,2023-04-18T13:43:49.172,0.478,0.252,-0.088,-0.064
1681818229182,2023-04-18T13:43:49.182,0.488,0.186,-0.124,-0.042
1681818229192,2023-04-18T13:43:49.192,0.498,0.085,-0.165,-0.031
1681818229201,2023-04-18T13:43:49.201,0.507,0.027,-0.205,-0.024
1681818229211,2023-04-18T13:43:49.211,0.517,0.020,-0.229,-0.044
1681818229222,2023-04-18T13:43:49.222,0.528,0.033,-0.230,-0.060
1681818229232,2023-04-18T13:43:49.232,0.538,0.058,-0.208,-0.060
1681818229242,2023-04-18T13:43:49.242,0.548,0.077,-0.168,-0.054
1681818229251,2023-04-18T13:43:49.251,0.557,0.069,-0.136,-0.053
1681818229263,2023-04-18T13:43:49.263,0.569,0.011,-0.130,-0.055
1681818229271,2023-04-18T13:43:49.271,0.577,-0.051,-0.139,-0.050
1681818229282,2023-04-18T13:43:49.282,0.588,-0.083,-0.158,-0.035
1681818229292,2023-04-18T13:43:49.292,0.598,-0.115,-0.176,-0.008
1681818229301,2023-04-18T13:43:49.301,0.607,-0.151,-0.198,0.015
1681818229311,2023-04-18T13:43:49.311,0.617,-0.188,-0.203,0.002
1681818229321,2023-04-18T13:43:49.321,0.627,-0.196,-0.193,-0.015
1681818229331,2023-04-18T13:43:49.331,0.637,-0.176,-0.205,-0.014
1681818229342,2023-04-18T13:43:49.342,0.648,-0.133,-0.230,-0.006
1681818229350,2023-04-18T13:43:49.350,0.656,-0.100,-0.232,0.017
1681818229361,2023-04-18T13:43:49.361,0.667,-0.109,-0.212,0.064
1681818229371,2023-04-18T13:43:49.371,0.677,-0.117,-0.179,0.095
1681818229381,2023-04-18T13:43:49.381,0.687,-0.104,-0.127,0.111
1681818229391,2023-04-18T13:43:49.391,0.697,-0.090,-0.059,0.116
1681818229400,2023-04-18T13:43:49.400,0.706,-0.072,0.007,0.116
1681818229410,2023-04-18T13:43:49.410,0.716,-0.049,0.067,0.119
1681818229421,2023-04-18T13:43:49.421,0.727,-0.025,0.114,0.123
1681818229431,2023-04-18T13:43:49.431,0.737,0.006,0.150,0.118
1681818229440,2023-04-18T13:43:49.440,0.746,0.042,0.168,0.119
1681818229450,2023-04-18T13:43:49.450,0.756,0.065,0.172,0.121
1681818229460,2023-04-18T13:43:49.460,0.766,0.067,0.152,0.114
1681818229471,2023-04-18T13:43:49.471,0.777,0.054,0.114,0.115
1681818229481,2023-04-18T13:43:49.481,0.787,0.044,0.062,0.117
1681818229490,2023-04-18T13:43:49.490,0.796,0.025,0.003,0.111
1681818229501,2023-04-18T13:43:49.501,0.807,-0.003,-0.045,0.109
1681818229510,2023-04-18T13:43:49.510,0.816,-0.029,-0.089,0.100
1681818229520,2023-04-18T13:43:49.520,0.826,-0.046,-0.123,0.086
1681818229531,2023-04-18T13:43:49.531,0.837,-0.047,-0.144,0.084
1681818229539,2023-04-18T13:43:49.539,0.845,-0.052,-0.154,0.077
1681818229550,2023-04-18T13:43:49.550,0.856,-0.039,-0.151,0.077
1681818229560,2023-04-18T13:43:49.560,0.866,-0.018,-0.135,0.076
1681818229570,2023-04-18T13:43:49.570,0.876,0.008,-0.113,0.068
1681818229580,2023-04-18T13:43:49.580,0.886,0.028,-0.094,0.060
1681818229589,2023-04-18T13:43:49.589,0.895,0.036,-0.070,0.050
1681818229599,2023-04-18T13:43:49.599,0.905,0.040,-0.062,0.043
1681818229610,2023-04-18T13:43:49.610,0.916,0.042,-0.068,0.034
1681818229620,2023-04-18T13:43:49.620,0.926,0.046,-0.090,0.030
1681818229630,2023-04-18T13:43:49.630,0.936,0.045,-0.117,0.030
1681818229639,2023-04-18T13:43:49.639,0.945,0.041,-0.136,0.034
1681818229649,2023-04-18T13:43:49.649,0.955,0.038,-0.155,0.035
1681818229660,2023-04-18T13:43:49.660,0.966,0.033,-0.174,0.037
1681818229670,2023-04-18T13:43:49.670,0.976,0.029,-0.182,0.034
1681818229680,2023-04-18T13:43:49.680,0.986,0.025,-0.176,0.038
1681818229689,2023-04-18T13:43:49.689,0.995,0.008,-0.158,0.043
1681818229699,2023-04-18T13:43:49.699,1.005,-0.015,-0.134,0.030
1681818229709,2023-04-18T13:43:49.709,1.015,-0.021,-0.108,0.017
1681818229720,2023-04-18T13:43:49.720,1.026,-0.018,-0.082,0.014
1681818229730,2023-04-18T13:43:49.730,1.036,-0.010,-0.067,0.013
1681818229740,2023-04-18T13:43:49.740,1.046,-0.000,-0.058,0.015
1681818229749,2023-04-18T13:43:49.749,1.055,0.001,-0.054,0.017
1681818229759,2023-04-18T13:43:49.759,1.065,0.007,-0.056,0.020
1681818229769,2023-04-18T13:43:49.769,1.075,0.016,-0.048,0.026
1681818229780,2023-04-18T13:43:49.780,1.086,0.018,-0.044,0.029
1681818229788,2023-04-18T13:43:49.788,1.094,0.014,-0.043,0.036
1681818229799,2023-04-18T13:43:49.799,1.105,0.009,-0.043,0.048
1681818229809,2023-04-18T13:43:49.809,1.115,0.003,-0.041,0.043
1681818229819,2023-04-18T13:43:49.819,1.125,0.009,-0.041,0.037
1681818229828,2023-04-18T13:43:49.828,1.134,0.022,-0.042,0.033
1681818229838,2023-04-18T13:43:49.838,1.144,0.023,-0.039,0.030
1681818229848,2023-04-18T13:43:49.848,1.154,0.026,-0.040,0.023
1681818229859,2023-04-18T13:43:49.859,1.165,0.027,-0.048,0.024
1681818229869,2023-04-18T13:43:49.869,1.175,0.017,-0.055,0.024
1681818229878,2023-04-18T13:43:49.878,1.184,0.003,-0.063,0.012
1681818229888,2023-04-18T13:43:49.888,1.194,0.004,-0.073,0.000
1681818229898,2023-04-18T13:43:49.898,1.204,0.006,-0.081,-0.007
1681818229909,2023-04-18T13:43:49.909,1.215,0.013,-0.083,-0.018
1681818229919,2023-04-18T13:43:49.919,1.225,0.008,-0.067,-0.030
1681818229928,2023-04-18T13:43:49.928,1.234,0.002,-0.055,-0.026
1681818229938,2023-04-18T13:43:49.938,1.244,-0.020,-0.067,-0.024
1681818229948,2023-04-18T13:43:49.948,1.254,-0.027,-0.092,-0.027
1681818229958,2023-04-18T13:43:49.958,1.264,-0.028,-0.111,-0.018
1681818229969,2023-04-18T13:43:49.969,1.275,-0.041,-0.141,0.003
1681818229977,2023-04-18T13:43:49.977,1.283,-0.031,-0.182,0.027
1681818229988,2023-04-18T13:43:49.988,1.294,-0.001,-0.211,0.044
1681818229998,2023-04-18T13:43:49.998,1.304,0.026,-0.209,0.050
1681818230008,2023-04-18T13:43:50.008,1.314,0.043,-0.196,0.033
1681818230018,2023-04-18T13:43:50.018,1.324,0.042,-0.189,0.013
1681818230027,2023-04-18T13:43:50.027,1.333,0.019,-0.179,-0.008
1681818230037,2023-04-18T13:43:50.037,1.343,-0.006,-0.168,-0.031
1681818230048,2023-04-18T13:43:50.048,1.354,-0.040,-0.160,-0.045
1681818230058,2023-04-18T13:43:50.058,1.364,-0.060,-0.165,-0.056
1681818230068,2023-04-18T13:43:50.068,1.374,-0.051,-0.166,-0.055
1681818230077,2023-04-18T13:43:50.077,1.383,-0.029,-0.154,-0.038
1681818230087,2023-04-18T13:43:50.087,1.393,0.001,-0.136,-0.023
1681818230097,2023-04-18T13:43:50.097,1.403,0.030,-0.118,-0.006
1681818230108,2023-04-18T13:43:50.108,1.414,0.041,-0.105,-0.002
1681818230117,2023-04-18T13:43:50.117,1.423,0.054,-0.097,0.007
1681818230127,2023-04-18T13:43:50.127,1.433,0.060,-0.085,0.007
1681818230137,2023-04-18T13:43:50.137,1.443,0.054,-0.073,0.011
1681818230147,2023-04-18T13:43:50.147,1.453,0.026,-0.067,0.015
1681818230158,2023-04-18T13:43:50.158,1.464,0.008,-0.064,0.004
1681818230166,2023-04-18T13:43:50.166,1.472,-0.004,-0.053,-0.001
1681818230177,2023-04-18T13:43:50.177,1.483,-0.028,-0.039,-0.000
1681818230187,2023-04-18T13:43:50.187,1.493,-0.028,-0.031,-0.007
1681818230197,2023-04-18T13:43:50.197,1.503,-0.034,-0.036,-0.012
1681818230207,2023-04-18T13:43:50.207,1.513,-0.033,-0.052,-0.017
1681818230216,2023-04-18T13:43:50.216,1.522,-0.032,-0.068,-0.022
1681818230226,2023-04-18T13:43:50.226,1.532,-0.030,-0.083,-0.020
1681818230237,2023-04-18T13:43:50.237,1.543,-0.026,-0.089,-0.013
1681818230247,2023-04-18T13:43:50.247,1.553,-0.019,-0.080,-0.017
1681818230257,2023-04-18T13:43:50.257,1.563,-0.015,-0.064,-0.019
1681818230266,2023-04-18T13:43:50.266,1.572,-0.016,-0.047,-0.019
1681818230276,2023-04-18T13:43:50.276,1.582,-0.009,-0.035,-0.027
1681818230286,2023-04-18T13:43:50.286,1.592,0.004,-0.027,-0.030
1681818230297,2023-04-18T13:43:50.297,1.603,0.002,-0.028,-0.012
1681818230307,2023-04-18T13:43:50.307,1.613,0.021,-0.025,-0.009
1681818230316,2023-04-18T13:43:50.316,1.622,0.034,-0.029,0.000
1681818230326,2023-04-18T13:43:50.326,1.632,0.041,-0.039,0.002
1681818230336,2023-04-18T13:43:50.336,1.642,0.045,-0.053,0.001
1681818230347,2023-04-18T13:43:50.347,1.653,0.027,-0.063,0.005
1681818230355,2023-04-18T13:43:50.355,1.661,0.024,-0.077,-0.003
1681818230366,2023-04-18T13:43:50.366,1.672,0.008,-0.079,-0.004
1681818230376,2023-04-18T13:43:50.376,1.682,-0.008,-0.078,-0.010
1681818230386,2023-04-18T13:43:50.386,1.692,-0.014,-0.080,-0.025
1681818230396,2023-04-18T13:43:50.396,1.702,-0.022,-0.086,-0.028
1681818230405,2023-04-18T13:43:50.405,1.711,-0.014,-0.099,-0.035
1681818230415,2023-04-18T13:43:50.415,1.721,-0.002,-0.110,-0.046
1681818230426,2023-04-18T13:43:50.426,1.732,0.005,-0.125,-0.038
1681818230436,2023-04-18T13:43:50.436,1.742,0.012,-0.139,-0.031
1681818230446,2023-04-18T13:43:50.446,1.752,0.026,-0.150,-0.014
1681818230455,2023-04-18T13:43:50.455,1.761,0.029,-0.155,-0.006
1681818230467,2023-04-18T13:43:50.467,1.773,0.021,-0.159,0.003
1681818230475,2023-04-18T13:43:50.475,1.781,0.016,-0.156,0.001
1681818230486,2023-04-18T13:43:50.486,1.792,-0.003,-0.153,0.017
1681818230496,2023-04-18T13:43:50.496,1.802,-0.013,-0.148,0.024
1681818230505,2023-04-18T13:43:50.505,1.811,-0.035,-0.132,0.037
1681818230515,2023-04-18T13:43:50.515,1.821,-0.035,-0.118,0.022
1681818230525,2023-04-18T13:43:50.525,1.831,-0.029,-0.103,0.029
1681818230535,2023-04-18T13:43:50.535,1.841,-0.024,-0.099,0.027
1681818230546,2023-04-18T13:43:50.546,1.852,-0.032,-0.099,0.039
1681818230555,2023-04-18T13:43:50.555,1.861,-0.032,-0.099,0.039
1681818230565,2023-04-18T13:43:50.565,1.871,-0.028,-0.096,0.048
1681818230575,2023-04-18T13:43:50.575,1.881,-0.009,-0.090,0.054
1681818230585,2023-04-18T13:43:50.585,1.891,0.004,-0.085,0.050
1681818230596,2023-04-18T13:43:50.596,1.902,0.023,-0.081,0.049
1681818230604,2023-04-18T13:43:50.604,1.910,0.041,-0.081,0.053
1681818230615,2023-04-18T13:43:50.615,1.921,0.043,-0.078,0.070
1681818230625,2023-04-18T13:43:50.625,1.931,0.046,-0.078,0.059
1681818230635,2023-04-18T13:43:50.635,1.941,0.030,-0.083,0.062
1681818230644,2023-04-18T13:43:50.644,1.950,0.021,-0.088,0.061
1681818230654,2023-04-18T13:43:50.654,1.960,0.022,-0.089,0.047
1681818230664,2023-04-18T13:43:50.664,1.970,0.028,-0.084,0.041
1681818230675,2023-04-18T13:43:50.675,1.981,0.028,-0.075,0.022
1681818230685,2023-04-18T13:43:50.685,1.991,0.025,-0.077,0.001
1681818230694,2023-04-18T13:43:50.694,2.000,0.024,-0.086,-0.008
1681818230704,2023-04-18T13:43:50.704,2.010,0.027,-0.094,-0.008
1681818230714,2023-04-18T13:43:50.714,2.020,0.021,-0.104,-0.009
1681818230724,2023-04-18T13:43:50.724,2.030,0.009,-0.123,-0.009
1681818230735,2023-04-18T13:43:50.735,2.041,-0.008,-0.141,-0.015
1681818230743,2023-04-18T13:43:50.743,2.049,-0.028,-0.154,-0.018
1681818230754,2023-04-18T13:43:50.754,2.060,-0.039,-0.166,-0.017
1681818230764,2023-04-18T13:43:50.764,2.070,-0.054,-0.176,-0.010
1681818230774,2023-04-18T13:43:50.774,2.080,-0.058,-0.178,-0.012
1681818230785,2023-04-18T13:43:50.785,2.091,-0.042,-0.159,-0.015
1681818230795,2023-04-18T13:43:50.795,2.101,-0.024,-0.138,-0.011
1681818230804,2023-04-18T13:43:50.804,2.110,-0.018,-0.126,-0.003
1681818230814,2023-04-18T13:43:50.814,2.120,-0.014,-0.121,-0.004
1681818230824,2023-04-18T13:43:50.824,2.130,-0.023,-0.115,-0.006
1681818230834,2023-04-18T13:43:50.834,2.140,-0.030,-0.109,-0.005
1681818230843,2023-04-18T13:43:50.843,2.149,-0.028,-0.105,-0.007
1681818230853,2023-04-18T13:43:50.853,2.159,-0.025,-0.098,-0.010
1681818230864,2023-04-18T13:43:50.864,2.170,-0.019,-0.088,-0.006
1681818230874,2023-04-18T13:43:50.874,2.180,-0.016,-0.088,-0.005
1681818230884,2023-04-18T13:43:50.884,2.190,-0.008,-0.089,-0.007
1681818230893,2023-04-18T13:43:50.893,2.199,-0.004,-0.087,-0.007
1681818230903,2023-04-18T13:43:50.903,2.209,-0.003,-0.084,-0.009
1681818230913,2023-04-18T13:43:50.913,2.219,-0.004,-0.081,-0.004
1681818230924,2023-04-18T13:43:50.924,2.230,0.003,-0.084,-0.016
1681818230934,2023-04-18T13:43:50.934,2.240,0.007,-0.083,-0.018
1681818230943,2023-04-18T13:43:50.943,2.249,0.011,-0.076,-0.022
1681818230953,2023-04-18T13:43:50.953,2.259,0.009,-0.072,-0.022
1681818230963,2023-04-18T13:43:50.963,2.269,0.007,-0.072,-0.018
1681818230973,2023-04-18T13:43:50.973,2.279,0.003,-0.067,-0.023
1681818230982,2023-04-18T13:43:50.982,2.288,-0.009,-0.065,-0.023
1681818230993,2023-04-18T13:43:50.993,2.299,-0.011,-0.056,-0.027
1681818231003,2023-04-18T13:43:51.003,2.309,-0.017,-0.048,-0.030
1681818231013,2023-04-18T13:43:51.013,2.319,-0.030,-0.036,-0.031
1681818231023,2023-04-18T13:43:51.023,2.329,-0.029,-0.039,-0.033
1681818231034,2023-04-18T13:43:51.034,2.340,-0.034,-0.049,-0.034
1681818231042,2023-04-18T13:43:51.042,2.348,-0.043,-0.066,-0.028
1681818231053,2023-04-18T13:43:51.053,2.359,-0.041,-0.079,-0.047
1681818231063,2023-04-18T13:43:51.063,2.369,-0.047,-0.087,-0.046
1681818231073,2023-04-18T13:43:51.073,2.379,-0.042,-0.080,-0.041
1681818231082,2023-04-18T13:43:51.082,2.388,-0.028,-0.073,-0.039
1681818231092,2023-04-18T13:43:51.092,2.398,-0.005,-0.071,-0.048
1681818231102,2023-04-18T13:43:51.102,2.408,-0.007,-0.062,-0.035
1681818231113,2023-04-18T13:43:51.113,2.419,-0.015,-0.046,-0.039
1681818231123,2023-04-18T13:43:51.123,2.429,-0.021,-0.034,-0.025
1681818231132,2023-04-18T13:43:51.132,2.438,-0.026,-0.023,-0.010
1681818231142,2023-04-18T13:43:51.142,2.448,-0.021,-0.019,-0.006
1681818231152,2023-04-18T13:43:51.152,2.458,-0.011,-0.024,-0.007
1681818231162,2023-04-18T13:43:51.162,2.468,0.005,-0.019,-0.008
1681818231173,2023-04-18T13:43:51.173,2.479,0.010,-0.020,0.002
1681818231181,2023-04-18T13:43:51.181,2.487,0.009,-0.020,0.014
1681818231192,2023-04-18T13:43:51.192,2.498,0.007,-0.028,0.034
1681818231202,2023-04-18T13:43:51.202,2.508,0.011,-0.041,0.040
1681818231212,2023-04-18T13:43:51.212,2.518,0.007,-0.046,0.041
1681818231222,2023-04-18T13:43:51.222,2.528,0.008,-0.050,0.041
1681818231231,2023-04-18T13:43:51.231,2.537,0.011,-0.054,0.031
1681818231242,2023-04-18T13:43:51.242,2.548,0.011,-0.058,0.031
1681818231252,2023-04-18T13:43:51.252,2.558,0.005,-0.061,0.034
1681818231262,2023-04-18T13:43:51.262,2.568,0.008,-0.073,0.034
1681818231272,2023-04-18T13:43:51.272,2.578,0.008,-0.083,0.024
1681818231281,2023-04-18T13:43:51.281,2.587,-0.004,-0.094,0.007
1681818231291,2023-04-18T13:43:51.291,2.597,-0.024,-0.103,0.007
1681818231302,2023-04-18T13:43:51.302,2.608,-0.035,-0.128,0.010
1681818231312,2023-04-18T13:43:51.312,2.618,-0.038,-0.161,0.001
1681818231321,2023-04-18T13:43:51.321,2.627,-0.046,-0.189,-0.021
1681818231331,2023-04-18T13:43:51.331,2.637,-0.047,-0.210,-0.042
1681818231341,2023-04-18T13:43:51.341,2.647,-0.048,-0.222,-0.030
1681818231351,2023-04-18T13:43:51.351,2.657,-0.041,-0.230,-0.025
1681818231362,2023-04-18T13:43:51.362,2.668,-0.029,-0.235,-0.030
1681818231370,2023-04-18T13:43:51.370,2.676,-0.018,-0.229,-0.026
1681818231381,2023-04-18T13:43:51.381,2.687,-0.005,-0.207,-0.025
1681818231391,2023-04-18T13:43:51.391,2.697,0.011,-0.183,-0.024
1681818231401,2023-04-18T13:43:51.401,2.707,0.017,-0.153,-0.011
1681818231411,2023-04-18T13:43:51.411,2.717,0.030,-0.129,-0.012
1681818231420,2023-04-18T13:43:51.420,2.726,0.032,-0.109,-0.011
1681818231431,2023-04-18T13:43:51.431,2.737,0.032,-0.095,-0.000
1681818231441,2023-04-18T13:43:51.441,2.747,0.035,-0.089,0.007
1681818231451,2023-04-18T13:43:51.451,2.757,0.051,-0.080,0.015
1681818231461,2023-04-18T13:43:51.461,2.767,0.074,-0.066,0.012
1681818231470,2023-04-18T13:43:51.470,2.776,0.084,-0.021,-0.015
1681818231480,2023-04-18T13:43:51.480,2.786,0.076,0.032,-0.052
1681818231491,2023-04-18T13:43:51.491,2.797,0.045,0.076,-0.079
1681818231501,2023-04-18T13:43:51.501,2.807,-0.011,0.047,-0.082
1681818231511,2023-04-18T13:43:51.511,2.817,-0.089,-0.063,-0.092
1681818231521,2023-04-18T13:43:51.521,2.827,-0.141,-0.167,-0.094
1681818231530,2023-04-18T13:43:51.530,2.836,-0.159,-0.241,-0.088
1681818231540,2023-04-18T13:43:51.540,2.846,-0.171,-0.291,-0.073
1681818231551,2023-04-18T13:43:51.551,2.857,-0.174,-0.305,-0.073
1681818231561,2023-04-18T13:43:51.561,2.867,-0.172,-0.270,-0.048
1681818231570,2023-04-18T13:43:51.570,2.876,-0.148,-0.210,-0.034
1681818231580,2023-04-18T13:43:51.580,2.886,-0.108,-0.140,-0.015
1681818231590,2023-04-18T13:43:51.590,2.896,-0.048,-0.081,0.003
1681818231600,2023-04-18T13:43:51.600,2.906,0.004,-0.038,0.028
1681818231609,2023-04-18T13:43:51.609,2.915,0.045,-0.004,0.042
1681818231619,2023-04-18T13:43:51.619,2.925,0.065,0.012,0.045
1681818231630,2023-04-18T13:43:51.630,2.936,0.084,0.022,0.044
1681818231640,2023-04-18T13:43:51.640,2.946,0.083,0.042,0.027
1681818231650,2023-04-18T13:43:51.650,2.956,0.081,0.054,0.018
1681818231659,2023-04-18T13:43:51.659,2.965,0.074,0.046,-0.001
1681818231669,2023-04-18T13:43:51.669,2.975,0.045,0.033,-0.000
1681818231680,2023-04-18T13:43:51.680,2.986,0.033,0.014,-0.004
1681818231690,2023-04-18T13:43:51.690,2.996,0.019,0.005,0.010
1681818231700,2023-04-18T13:43:51.700,3.006,-0.012,0.005,0.024
1681818231709,2023-04-18T13:43:51.709,3.015,-0.034,0.001,0.026
1681818231719,2023-04-18T13:43:51.719,3.025,-0.049,-0.007,0.029
1681818231729,2023-04-18T13:43:51.729,3.035,-0.052,-0.016,0.027
1681818231740,2023-04-18T13:43:51.740,3.046,-0.050,-0.029,0.019
1681818231750,2023-04-18T13:43:51.750,3.056,-0.046,-0.036,0.016
1681818231760,2023-04-18T13:43:51.760,3.066,-0.049,-0.033,0.006
1681818231769,2023-04-18T13:43:51.769,3.075,-0.058,-0.041,0.010
1681818231779,2023-04-18T13:43:51.779,3.085,-0.054,-0.047,0.006
1681818231789,2023-04-18T13:43:51.789,3.095,-0.047,-0.040,0.007
1681818231800,2023-04-18T13:43:51.800,3.106,-0.041,-0.021,0.008
1681818231808,2023-04-18T13:43:51.808,3.114,-0.037,-0.007,0.012
1681818231819,2023-04-18T13:43:51.819,3.125,-0.033,0.003,0.004
1681818231829,2023-04-18T13:43:51.829,3.135,-0.021,0.005,0.001
1681818231839,2023-04-18T13:43:51.839,3.145,-0.016,0.001,0.007
1681818231848,2023-04-18T13:43:51.848,3.154,-0.013,-0.014,0.011
1681818231858,2023-04-18T13:43:51.858,3.164,-0.014,-0.030,0.007
1681818231868,2023-04-18T13:43:51.868,3.174,-0.014,-0.034,0.012
1681818231879,2023-04-18T13:43:51.879,3.185,-0.007,-0.038,0.019
1681818231889,2023-04-18T13:43:51.889,3.195,-0.003,-0.042,0.026
1681818231898,2023-04-18T13:43:51.898,3.204,0.002,-0.041,0.026
1681818231908,2023-04-18T13:43:51.908,3.214,0.003,-0.027,0.030
1681818231918,2023-04-18T13:43:51.918,3.224,0.004,-0.020,0.032
1681818231929,2023-04-18T13:43:51.929,3.235,0.002,-0.013,0.034
1681818231939,2023-04-18T13:43:51.939,3.245,-0.001,-0.008,0.032
1681818231948,2023-04-18T13:43:51.948,3.254,-0.009,-0.006,0.027
1681818231958,2023-04-18T13:43:51.958,3.264,-0.021,-0.002,0.026
1681818231968,2023-04-18T13:43:51.968,3.274,-0.023,0.006,0.017
1681818231978,2023-04-18T13:43:51.978,3.284,-0.026,0.019,0.012
1681818231989,2023-04-18T13:43:51.989,3.295,-0.030,0.018,0.011
1681818231999,2023-04-18T13:43:51.999,3.305,-0.030,0.013,0.012
1681818232008,2023-04-18T13:43:52.008,3.314,-0.032,0.014,0.013
1681818232018,2023-04-18T13:43:52.018,3.324,-0.036,0.018,0.018
1681818232028,2023-04-18T13:43:52.028,3.334,-0.036,0.012,0.022
1681818232038,2023-04-18T13:43:52.038,3.344,-0.033,0.006,0.018
1681818232047,2023-04-18T13:43:52.047,3.353,-0.030,-0.000,0.024
1681818232057,2023-04-18T13:43:52.057,3.363,-0.026,-0.003,0.020
1681818232068,2023-04-18T13:43:52.068,3.374,-0.019,-0.009,0.023
1681818232078,2023-04-18T13:43:52.078,3.384,-0.015,-0.011,0.027
1681818232088,2023-04-18T13:43:52.088,3.394,-0.015,-0.012,0.022
1681818232097,2023-04-18T13:43:52.097,3.403,-0.008,-0.015,0.016
1681818232107,2023-04-18T13:43:52.107,3.413,-0.002,-0.017,0.012
1681818232118,2023-04-18T13:43:52.118,3.424,0.002,-0.017,0.010
1681818232128,2023-04-18T13:43:52.128,3.434,0.003,-0.025,0.008
1681818232138,2023-04-18T13:43:52.138,3.444,0.010,-0.025,0.008
1681818232147,2023-04-18T13:43:52.147,3.453,0.022,-0.025,0.011
1681818232157,2023-04-18T13:43:52.157,3.463,0.020,-0.021,0.017
1681818232167,2023-04-18T13:43:52.167,3.473,0.009,-0.016,0.010
1681818232178,2023-04-18T13:43:52.178,3.484,-0.009,-0.024,-0.001
1681818232186,2023-04-18T13:43:52.186,3.492,-0.016,-0.032,-0.015
1681818232197,2023-04-18T13:43:52.197,3.503,-0.019,-0.035,-0.019
1681818232207,2023-04-18T13:43:52.207,3.513,-0.011,-0.044,-0.037
1681818232217,2023-04-18T13:43:52.217,3.523,-0.012,-0.049,-0.040
1681818232227,2023-04-18T13:43:52.227,3.533,-0.019,-0.054,-0.041
1681818232236,2023-04-18T13:43:52.236,3.542,-0.031,-0.058,-0.033
1681818232248,2023-04-18T13:43:52.248,3.554,-0.044,-0.062,-0.025
