epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681818056757,2023-04-18T13:40:56.757,0.000,-0.011,0.001,0.004
1681818056767,2023-04-18T13:40:56.767,0.010,-0.025,-0.001,0.006
1681818056777,2023-04-18T13:40:56.777,0.020,-0.023,-0.008,0.007
1681818056786,2023-04-18T13:40:56.786,0.029,-0.023,-0.013,0.004
1681818056796,2023-04-18T13:40:56.796,0.039,-0.021,-0.009,0.005
1681818056807,2023-04-18T13:40:56.807,0.050,-0.019,-0.005,0.004
1681818056817,2023-04-18T13:40:56.817,0.060,-0.015,-0.001,0.006
1681818056827,2023-04-18T13:40:56.827,0.070,-0.018,0.001,0.004
1681818056836,2023-04-18T13:40:56.836,0.079,-0.019,0.004,0.002
1681818056846,2023-04-18T13:40:56.846,0.089,-0.021,0.005,-0.001
1681818056856,2023-04-18T13:40:56.856,0.099,-0.023,0.006,-0.003
1681818056867,2023-04-18T13:40:56.867,0.110,-0.020,0.005,-0.000
1681818056877,2023-04-18T13:40:56.877,0.120,-0.017,0.002,0.002
1681818056887,2023-04-18T13:40:56.887,0.130,-0.016,0.003,0.003
1681818056896,2023-04-18T13:40:56.896,0.139,-0.021,0.005,-0.003
1681818056906,2023-04-18T13:40:56.906,0.149,-0.023,0.007,-0.001
1681818056916,2023-04-18T13:40:56.916,0.159,-0.023,0.009,-0.006
1681818056927,2023-04-18T13:40:56.927,0.170,-0.020,0.007,-0.000
1681818056937,2023-04-18T13:40:56.937,0.180,-0.018,0.008,-0.001
1681818056946,2023-04-18T13:40:56.946,0.189,-0.016,0.009,-0.002
1681818056956,2023-04-18T13:40:56.956,0.199,-0.017,0.011,0.001
1681818056966,2023-04-18T13:40:56.966,0.209,-0.020,0.010,0.000
1681818056976,2023-04-18T13:40:56.976,0.219,-0.019,0.007,0.003
1681818056987,2023-04-18T13:40:56.987,0.230,-0.020,0.003,0.001
1681818056995,2023-04-18T13:40:56.995,0.238,-0.022,0.001,-0.000
1681818057006,2023-04-18T13:40:57.006,0.249,-0.023,0.001,0.001
1681818057016,2023-04-18T13:40:57.016,0.259,-0.024,0.001,-0.003
1681818057026,2023-04-18T13:40:57.026,0.269,-0.024,0.000,-0.001
1681818057037,2023-04-18T13:40:57.037,0.280,-0.022,0.004,-0.002
1681818057047,2023-04-18T13:40:57.047,0.290,-0.023,0.007,-0.005
1681818057056,2023-04-18T13:40:57.056,0.299,-0.019,0.007,-0.001
1681818057066,2023-04-18T13:40:57.066,0.309,-0.018,0.011,-0.002
1681818057076,2023-04-18T13:40:57.076,0.319,-0.018,0.011,-0.004
1681818057086,2023-04-18T13:40:57.086,0.329,-0.018,0.014,0.000
1681818057097,2023-04-18T13:40:57.097,0.340,-0.020,0.014,-0.002
1681818057105,2023-04-18T13:40:57.105,0.348,-0.020,0.014,-0.004
1681818057116,2023-04-18T13:40:57.116,0.359,-0.019,0.012,-0.006
1681818057126,2023-04-18T13:40:57.126,0.369,-0.018,0.011,-0.006
1681818057136,2023-04-18T13:40:57.136,0.379,-0.020,0.009,-0.000
1681818057146,2023-04-18T13:40:57.146,0.389,-0.020,0.009,-0.005
1681818057157,2023-04-18T13:40:57.157,0.400,-0.022,0.010,-0.001
1681818057165,2023-04-18T13:40:57.165,0.408,-0.021,0.009,-0.001
1681818057176,2023-04-18T13:40:57.176,0.419,-0.025,0.009,-0.008
1681818057186,2023-04-18T13:40:57.186,0.429,-0.025,0.009,-0.004
1681818057196,2023-04-18T13:40:57.196,0.439,-0.022,0.010,-0.002
1681818057206,2023-04-18T13:40:57.206,0.449,-0.021,0.010,-0.003
1681818057215,2023-04-18T13:40:57.215,0.458,-0.021,0.008,-0.003
1681818057225,2023-04-18T13:40:57.225,0.468,-0.021,0.007,-0.002
1681818057236,2023-04-18T13:40:57.236,0.479,-0.023,0.008,-0.001
1681818057246,2023-04-18T13:40:57.246,0.489,-0.021,0.012,-0.001
1681818057256,2023-04-18T13:40:57.256,0.499,-0.021,0.008,-0.003
1681818057266,2023-04-18T13:40:57.266,0.509,-0.023,0.005,-0.002
1681818057275,2023-04-18T13:40:57.275,0.518,-0.021,0.005,-0.000
1681818057286,2023-04-18T13:40:57.286,0.529,-0.020,0.007,0.000
1681818057296,2023-04-18T13:40:57.296,0.539,-0.019,0.005,0.002
1681818057306,2023-04-18T13:40:57.306,0.549,-0.018,0.005,-0.002
1681818057316,2023-04-18T13:40:57.316,0.559,-0.021,0.006,-0.006
1681818057325,2023-04-18T13:40:57.325,0.568,-0.022,0.002,-0.004
1681818057335,2023-04-18T13:40:57.335,0.578,-0.027,0.003,-0.004
1681818057346,2023-04-18T13:40:57.346,0.589,-0.026,0.000,0.001
1681818057356,2023-04-18T13:40:57.356,0.599,-0.023,0.003,-0.003
1681818057366,2023-04-18T13:40:57.366,0.609,-0.021,0.003,-0.001
1681818057375,2023-04-18T13:40:57.375,0.618,-0.020,0.001,0.001
1681818057385,2023-04-18T13:40:57.385,0.628,-0.026,0.002,-0.008
1681818057395,2023-04-18T13:40:57.395,0.638,-0.021,0.003,-0.002
1681818057406,2023-04-18T13:40:57.406,0.649,-0.023,0.006,-0.002
1681818057416,2023-04-18T13:40:57.416,0.659,-0.020,0.005,-0.005
1681818057426,2023-04-18T13:40:57.426,0.669,-0.020,0.007,-0.005
1681818057435,2023-04-18T13:40:57.435,0.678,-0.022,0.010,-0.003
1681818057445,2023-04-18T13:40:57.445,0.688,-0.024,0.009,-0.004
1681818057455,2023-04-18T13:40:57.455,0.698,-0.021,0.009,-0.004
1681818057466,2023-04-18T13:40:57.466,0.709,-0.020,0.010,-0.003
1681818057476,2023-04-18T13:40:57.476,0.719,-0.020,0.006,-0.001
1681818057485,2023-04-18T13:40:57.485,0.728,-0.024,0.004,0.000
1681818057495,2023-04-18T13:40:57.495,0.738,-0.024,0.006,-0.004
1681818057505,2023-04-18T13:40:57.505,0.748,-0.023,0.006,-0.005
1681818057516,2023-04-18T13:40:57.516,0.759,-0.023,0.006,-0.005
1681818057526,2023-04-18T13:40:57.526,0.769,-0.023,0.007,-0.004
1681818057536,2023-04-18T13:40:57.536,0.779,-0.022,0.005,-0.002
1681818057546,2023-04-18T13:40:57.546,0.789,-0.020,0.005,0.000
1681818057555,2023-04-18T13:40:57.555,0.798,-0.019,0.008,0.001
1681818057565,2023-04-18T13:40:57.565,0.808,-0.020,0.007,-0.006
1681818057576,2023-04-18T13:40:57.576,0.819,-0.027,0.007,-0.003
1681818057586,2023-04-18T13:40:57.586,0.829,-0.025,0.004,-0.008
1681818057595,2023-04-18T13:40:57.595,0.838,-0.021,0.004,-0.004
1681818057605,2023-04-18T13:40:57.605,0.848,-0.022,0.003,-0.001
1681818057615,2023-04-18T13:40:57.615,0.858,-0.022,-0.000,0.000
1681818057625,2023-04-18T13:40:57.625,0.868,-0.022,-0.001,0.000
1681818057636,2023-04-18T13:40:57.636,0.879,-0.023,-0.001,-0.002
1681818057646,2023-04-18T13:40:57.646,0.889,-0.026,-0.003,-0.006
1681818057655,2023-04-18T13:40:57.655,0.898,-0.026,-0.002,-0.006
1681818057665,2023-04-18T13:40:57.665,0.908,-0.023,-0.000,-0.005
1681818057675,2023-04-18T13:40:57.675,0.918,-0.023,-0.001,-0.001
1681818057685,2023-04-18T13:40:57.685,0.928,-0.021,-0.000,-0.002
1681818057696,2023-04-18T13:40:57.696,0.939,-0.022,-0.001,-0.002
1681818057704,2023-04-18T13:40:57.704,0.947,-0.021,0.000,-0.002
1681818057715,2023-04-18T13:40:57.715,0.958,-0.025,0.001,-0.007
1681818057725,2023-04-18T13:40:57.725,0.968,-0.024,0.002,-0.004
1681818057735,2023-04-18T13:40:57.735,0.978,-0.025,0.002,-0.004
1681818057745,2023-04-18T13:40:57.745,0.988,-0.023,0.002,-0.002
1681818057756,2023-04-18T13:40:57.756,0.999,-0.025,0.001,-0.007
1681818057765,2023-04-18T13:40:57.765,1.008,-0.022,0.001,-0.004
1681818057775,2023-04-18T13:40:57.775,1.018,-0.022,0.001,-0.006
1681818057785,2023-04-18T13:40:57.785,1.028,-0.022,-0.001,-0.002
1681818057795,2023-04-18T13:40:57.795,1.038,-0.025,-0.001,-0.001
1681818057806,2023-04-18T13:40:57.806,1.049,-0.025,-0.001,-0.003
1681818057814,2023-04-18T13:40:57.814,1.057,-0.026,-0.002,-0.006
1681818057825,2023-04-18T13:40:57.825,1.068,-0.026,-0.002,-0.008
1681818057835,2023-04-18T13:40:57.835,1.078,-0.025,0.000,-0.008
1681818057845,2023-04-18T13:40:57.845,1.088,-0.020,-0.001,-0.006
1681818057855,2023-04-18T13:40:57.855,1.098,-0.021,0.002,-0.006
1681818057866,2023-04-18T13:40:57.866,1.109,-0.023,0.000,-0.004
1681818057874,2023-04-18T13:40:57.874,1.117,-0.023,0.003,-0.002
1681818057885,2023-04-18T13:40:57.885,1.128,-0.024,0.002,-0.003
1681818057895,2023-04-18T13:40:57.895,1.138,-0.023,-0.003,-0.006
1681818057905,2023-04-18T13:40:57.905,1.148,-0.026,-0.002,-0.011
1681818057915,2023-04-18T13:40:57.915,1.158,-0.025,-0.002,-0.009
1681818057924,2023-04-18T13:40:57.924,1.167,-0.029,-0.004,-0.007
1681818057934,2023-04-18T13:40:57.934,1.177,-0.027,-0.003,-0.007
1681818057945,2023-04-18T13:40:57.945,1.188,-0.026,-0.003,-0.010
1681818057955,2023-04-18T13:40:57.955,1.198,-0.023,-0.004,-0.007
1681818057965,2023-04-18T13:40:57.965,1.208,-0.026,-0.002,-0.007
1681818057974,2023-04-18T13:40:57.974,1.217,-0.028,0.001,-0.011
1681818057984,2023-04-18T13:40:57.984,1.227,-0.029,0.003,-0.011
1681818057995,2023-04-18T13:40:57.995,1.238,-0.025,0.001,-0.011
1681818058005,2023-04-18T13:40:58.005,1.248,-0.024,0.000,-0.013
1681818058015,2023-04-18T13:40:58.015,1.258,-0.027,0.001,-0.013
1681818058025,2023-04-18T13:40:58.025,1.268,-0.025,-0.000,-0.009
1681818058034,2023-04-18T13:40:58.034,1.277,-0.024,-0.001,-0.008
1681818058044,2023-04-18T13:40:58.044,1.287,-0.023,-0.001,-0.006
1681818058055,2023-04-18T13:40:58.055,1.298,-0.025,-0.002,-0.007
1681818058065,2023-04-18T13:40:58.065,1.308,-0.025,-0.003,-0.007
1681818058075,2023-04-18T13:40:58.075,1.318,-0.026,-0.002,-0.007
1681818058084,2023-04-18T13:40:58.084,1.327,-0.026,-0.002,-0.009
1681818058094,2023-04-18T13:40:58.094,1.337,-0.024,-0.002,-0.010
1681818058104,2023-04-18T13:40:58.104,1.347,-0.024,0.001,-0.007
1681818058115,2023-04-18T13:40:58.115,1.358,-0.021,0.004,-0.007
1681818058125,2023-04-18T13:40:58.125,1.368,-0.023,0.005,-0.001
1681818058135,2023-04-18T13:40:58.135,1.378,-0.022,0.003,-0.001
1681818058144,2023-04-18T13:40:58.144,1.387,-0.024,0.001,-0.008
1681818058154,2023-04-18T13:40:58.154,1.397,-0.024,0.002,-0.008
1681818058164,2023-04-18T13:40:58.164,1.407,-0.024,0.005,-0.009
1681818058175,2023-04-18T13:40:58.175,1.418,-0.024,0.007,-0.010
1681818058185,2023-04-18T13:40:58.185,1.428,-0.018,0.011,-0.000
1681818058194,2023-04-18T13:40:58.194,1.437,-0.020,0.013,-0.004
1681818058204,2023-04-18T13:40:58.204,1.447,-0.020,0.012,-0.004
1681818058214,2023-04-18T13:40:58.214,1.457,-0.022,0.013,-0.003
1681818058224,2023-04-18T13:40:58.224,1.467,-0.022,0.007,-0.001
1681818058235,2023-04-18T13:40:58.235,1.478,-0.021,0.004,-0.000
1681818058245,2023-04-18T13:40:58.245,1.488,-0.022,0.003,0.001
1681818058254,2023-04-18T13:40:58.254,1.497,-0.020,0.004,0.000
1681818058264,2023-04-18T13:40:58.264,1.507,-0.020,0.006,0.004
1681818058274,2023-04-18T13:40:58.274,1.517,-0.016,0.005,0.010
1681818058285,2023-04-18T13:40:58.285,1.528,-0.020,0.002,-0.001
1681818058295,2023-04-18T13:40:58.295,1.538,-0.025,0.002,-0.006
1681818058304,2023-04-18T13:40:58.304,1.547,-0.024,0.002,-0.003
1681818058314,2023-04-18T13:40:58.314,1.557,-0.025,0.003,-0.003
1681818058324,2023-04-18T13:40:58.324,1.567,-0.019,0.008,0.002
1681818058334,2023-04-18T13:40:58.334,1.577,-0.019,0.009,-0.002
1681818058345,2023-04-18T13:40:58.345,1.588,-0.021,0.007,-0.002
1681818058353,2023-04-18T13:40:58.353,1.596,-0.020,0.004,-0.003
1681818058364,2023-04-18T13:40:58.364,1.607,-0.025,0.002,-0.006
1681818058374,2023-04-18T13:40:58.374,1.617,-0.027,0.002,-0.008
1681818058384,2023-04-18T13:40:58.384,1.627,-0.024,0.002,-0.003
1681818058394,2023-04-18T13:40:58.394,1.637,-0.024,0.004,-0.006
1681818058405,2023-04-18T13:40:58.405,1.648,-0.022,0.007,-0.003
1681818058413,2023-04-18T13:40:58.413,1.656,-0.022,0.012,-0.005
1681818058424,2023-04-18T13:40:58.424,1.667,-0.022,0.015,-0.004
1681818058434,2023-04-18T13:40:58.434,1.677,-0.023,0.015,-0.005
1681818058444,2023-04-18T13:40:58.444,1.687,-0.025,0.014,-0.011
1681818058454,2023-04-18T13:40:58.454,1.697,-0.022,0.015,-0.013
1681818058463,2023-04-18T13:40:58.463,1.706,-0.023,0.015,-0.010
1681818058474,2023-04-18T13:40:58.474,1.717,-0.024,0.014,-0.010
1681818058484,2023-04-18T13:40:58.484,1.727,-0.023,0.011,-0.007
1681818058494,2023-04-18T13:40:58.494,1.737,-0.022,0.008,-0.007
1681818058504,2023-04-18T13:40:58.504,1.747,-0.023,0.007,-0.007
1681818058515,2023-04-18T13:40:58.515,1.758,-0.023,0.003,-0.006
1681818058523,2023-04-18T13:40:58.523,1.766,-0.025,0.004,-0.009
1681818058534,2023-04-18T13:40:58.534,1.777,-0.024,0.004,-0.005
1681818058544,2023-04-18T13:40:58.544,1.787,-0.023,0.005,-0.005
1681818058554,2023-04-18T13:40:58.554,1.797,-0.020,0.005,-0.002
1681818058564,2023-04-18T13:40:58.564,1.807,-0.019,0.004,-0.002
1681818058573,2023-04-18T13:40:58.573,1.816,-0.023,0.004,-0.001
1681818058583,2023-04-18T13:40:58.583,1.826,-0.023,0.001,-0.001
1681818058594,2023-04-18T13:40:58.594,1.837,-0.022,0.002,-0.001
1681818058604,2023-04-18T13:40:58.604,1.847,-0.022,0.005,-0.004
1681818058614,2023-04-18T13:40:58.614,1.857,-0.022,0.006,-0.003
1681818058624,2023-04-18T13:40:58.624,1.867,-0.021,0.009,-0.006
1681818058633,2023-04-18T13:40:58.633,1.876,-0.020,0.007,-0.004
1681818058643,2023-04-18T13:40:58.643,1.886,-0.023,0.007,-0.003
1681818058654,2023-04-18T13:40:58.654,1.897,-0.023,0.008,-0.006
1681818058664,2023-04-18T13:40:58.664,1.907,-0.022,0.009,-0.008
1681818058674,2023-04-18T13:40:58.674,1.917,-0.023,0.009,-0.006
1681818058683,2023-04-18T13:40:58.683,1.926,-0.025,0.009,-0.004
1681818058693,2023-04-18T13:40:58.693,1.936,-0.024,0.010,-0.002
1681818058703,2023-04-18T13:40:58.703,1.946,-0.022,0.008,-0.002
1681818058714,2023-04-18T13:40:58.714,1.957,-0.021,0.004,-0.001
1681818058724,2023-04-18T13:40:58.724,1.967,-0.021,0.001,-0.007
1681818058733,2023-04-18T13:40:58.733,1.976,-0.019,0.001,-0.002
1681818058743,2023-04-18T13:40:58.743,1.986,-0.018,0.002,-0.003
1681818058753,2023-04-18T13:40:58.753,1.996,-0.020,0.005,-0.002
1681818058764,2023-04-18T13:40:58.764,2.007,-0.021,0.004,0.000
1681818058774,2023-04-18T13:40:58.774,2.017,-0.025,0.004,-0.002
1681818058784,2023-04-18T13:40:58.784,2.027,-0.024,-0.001,-0.001
1681818058793,2023-04-18T13:40:58.793,2.036,-0.023,-0.002,-0.004
1681818058803,2023-04-18T13:40:58.803,2.046,-0.022,-0.001,-0.008
1681818058813,2023-04-18T13:40:58.813,2.056,-0.020,0.003,-0.004
1681818058824,2023-04-18T13:40:58.824,2.067,-0.020,0.005,-0.005
1681818058834,2023-04-18T13:40:58.834,2.077,-0.021,0.011,-0.002
1681818058843,2023-04-18T13:40:58.843,2.086,-0.026,0.010,-0.005
1681818058853,2023-04-18T13:40:58.853,2.096,-0.024,0.010,-0.004
1681818058863,2023-04-18T13:40:58.863,2.106,-0.022,0.010,-0.008
1681818058873,2023-04-18T13:40:58.873,2.116,-0.018,0.008,-0.006
1681818058884,2023-04-18T13:40:58.884,2.127,-0.019,0.003,-0.003
1681818058894,2023-04-18T13:40:58.894,2.137,-0.019,0.000,-0.003
1681818058903,2023-04-18T13:40:58.903,2.146,-0.020,0.003,-0.005
1681818058914,2023-04-18T13:40:58.914,2.157,-0.021,-0.001,0.000
1681818058923,2023-04-18T13:40:58.923,2.166,-0.023,-0.001,0.002
1681818058933,2023-04-18T13:40:58.933,2.176,-0.024,0.000,-0.002
1681818058944,2023-04-18T13:40:58.944,2.187,-0.025,0.003,0.002
1681818058953,2023-04-18T13:40:58.953,2.196,-0.023,0.002,0.001
1681818058963,2023-04-18T13:40:58.963,2.206,-0.022,-0.000,0.000
1681818058973,2023-04-18T13:40:58.973,2.216,-0.021,0.000,0.002
1681818058983,2023-04-18T13:40:58.983,2.226,-0.018,0.001,0.003
1681818058994,2023-04-18T13:40:58.994,2.237,-0.022,0.002,0.001
1681818059004,2023-04-18T13:40:59.004,2.247,-0.023,0.002,-0.002
1681818059013,2023-04-18T13:40:59.013,2.256,-0.024,0.002,-0.003
1681818059023,2023-04-18T13:40:59.023,2.266,-0.024,0.001,-0.001
1681818059033,2023-04-18T13:40:59.033,2.276,-0.022,-0.001,-0.003
1681818059043,2023-04-18T13:40:59.043,2.286,-0.020,0.002,0.001
1681818059054,2023-04-18T13:40:59.054,2.297,-0.019,0.004,-0.003
1681818059062,2023-04-18T13:40:59.062,2.305,-0.018,0.006,0.003
1681818059074,2023-04-18T13:40:59.074,2.317,-0.019,0.005,-0.001
1681818059083,2023-04-18T13:40:59.083,2.326,-0.022,0.005,-0.000
1681818059093,2023-04-18T13:40:59.093,2.336,-0.025,0.004,-0.002
1681818059103,2023-04-18T13:40:59.103,2.346,-0.019,0.001,-0.002
1681818059114,2023-04-18T13:40:59.114,2.357,-0.016,-0.002,0.005
1681818059122,2023-04-18T13:40:59.122,2.365,-0.018,0.001,-0.001
1681818059133,2023-04-18T13:40:59.133,2.376,-0.021,0.003,0.002
1681818059143,2023-04-18T13:40:59.143,2.386,-0.022,0.004,-0.000
1681818059153,2023-04-18T13:40:59.153,2.396,-0.022,0.002,-0.002
1681818059163,2023-04-18T13:40:59.163,2.406,-0.021,0.000,0.002
1681818059172,2023-04-18T13:40:59.172,2.415,-0.024,-0.002,0.001
1681818059183,2023-04-18T13:40:59.183,2.426,-0.023,-0.001,-0.001
1681818059193,2023-04-18T13:40:59.193,2.436,-0.021,0.003,0.003
1681818059203,2023-04-18T13:40:59.203,2.446,-0.022,0.005,0.001
1681818059213,2023-04-18T13:40:59.213,2.456,-0.022,0.008,-0.001
1681818059222,2023-04-18T13:40:59.222,2.465,-0.025,0.011,-0.004
1681818059234,2023-04-18T13:40:59.234,2.477,-0.027,0.010,-0.004
1681818059243,2023-04-18T13:40:59.243,2.486,-0.024,0.014,-0.007
1681818059253,2023-04-18T13:40:59.253,2.496,-0.018,0.011,-0.005
1681818059263,2023-04-18T13:40:59.263,2.506,-0.015,0.010,-0.003
1681818059273,2023-04-18T13:40:59.273,2.516,-0.017,0.013,-0.004
1681818059282,2023-04-18T13:40:59.282,2.525,-0.019,0.010,-0.005
1681818059292,2023-04-18T13:40:59.292,2.535,-0.024,0.008,-0.001
1681818059303,2023-04-18T13:40:59.303,2.546,-0.027,0.005,-0.003
1681818059313,2023-04-18T13:40:59.313,2.556,-0.025,0.005,-0.004
1681818059323,2023-04-18T13:40:59.323,2.566,-0.026,0.006,-0.007
1681818059332,2023-04-18T13:40:59.332,2.575,-0.023,0.004,-0.005
1681818059342,2023-04-18T13:40:59.342,2.585,-0.018,0.001,-0.005
1681818059352,2023-04-18T13:40:59.352,2.595,-0.019,0.003,-0.003
1681818059363,2023-04-18T13:40:59.363,2.606,-0.021,0.007,-0.004
1681818059373,2023-04-18T13:40:59.373,2.616,-0.024,0.010,-0.003
1681818059383,2023-04-18T13:40:59.383,2.626,-0.024,0.008,-0.006
1681818059392,2023-04-18T13:40:59.392,2.635,-0.026,0.010,-0.007
1681818059402,2023-04-18T13:40:59.402,2.645,-0.026,0.010,-0.010
1681818059412,2023-04-18T13:40:59.412,2.655,-0.022,0.009,-0.010
1681818059423,2023-04-18T13:40:59.423,2.666,-0.020,0.009,-0.008
1681818059433,2023-04-18T13:40:59.433,2.676,-0.020,0.011,-0.007
1681818059442,2023-04-18T13:40:59.442,2.685,-0.019,0.012,-0.003
1681818059452,2023-04-18T13:40:59.452,2.695,-0.023,0.012,-0.006
1681818059462,2023-04-18T13:40:59.462,2.705,-0.025,0.011,-0.012
1681818059473,2023-04-18T13:40:59.473,2.716,-0.024,0.007,-0.011
1681818059483,2023-04-18T13:40:59.483,2.726,-0.027,0.007,-0.011
1681818059493,2023-04-18T13:40:59.493,2.736,-0.025,0.008,-0.008
1681818059502,2023-04-18T13:40:59.502,2.745,-0.023,0.008,-0.006
1681818059512,2023-04-18T13:40:59.512,2.755,-0.023,0.009,-0.011
1681818059522,2023-04-18T13:40:59.522,2.765,-0.022,0.009,-0.010
1681818059533,2023-04-18T13:40:59.533,2.776,-0.024,0.008,-0.009
1681818059543,2023-04-18T13:40:59.543,2.786,-0.025,0.007,-0.009
1681818059552,2023-04-18T13:40:59.552,2.795,-0.022,0.007,-0.008
1681818059563,2023-04-18T13:40:59.563,2.806,-0.025,0.007,-0.014
1681818059572,2023-04-18T13:40:59.572,2.815,-0.024,0.007,-0.010
1681818059582,2023-04-18T13:40:59.582,2.825,-0.028,0.010,-0.012
1681818059593,2023-04-18T13:40:59.593,2.836,-0.023,0.010,-0.010
1681818059603,2023-04-18T13:40:59.603,2.846,-0.023,0.010,-0.012
1681818059612,2023-04-18T13:40:59.612,2.855,-0.019,0.007,-0.008
1681818059622,2023-04-18T13:40:59.622,2.865,-0.019,0.005,-0.005
1681818059632,2023-04-18T13:40:59.632,2.875,-0.023,0.000,-0.004
1681818059642,2023-04-18T13:40:59.642,2.885,-0.024,0.001,-0.003
1681818059653,2023-04-18T13:40:59.653,2.896,-0.027,0.003,-0.007
1681818059662,2023-04-18T13:40:59.662,2.905,-0.025,0.006,-0.006
1681818059672,2023-04-18T13:40:59.672,2.915,-0.025,0.008,-0.009
1681818059682,2023-04-18T13:40:59.682,2.925,-0.023,0.011,-0.008
1681818059692,2023-04-18T13:40:59.692,2.935,-0.017,0.010,-0.008
1681818059703,2023-04-18T13:40:59.703,2.946,-0.020,0.012,-0.009
1681818059713,2023-04-18T13:40:59.713,2.956,-0.021,0.011,-0.004
1681818059722,2023-04-18T13:40:59.722,2.965,-0.026,0.012,-0.009
1681818059732,2023-04-18T13:40:59.732,2.975,-0.028,0.010,-0.009
1681818059742,2023-04-18T13:40:59.742,2.985,-0.027,0.008,-0.009
1681818059752,2023-04-18T13:40:59.752,2.995,-0.023,0.008,-0.007
1681818059763,2023-04-18T13:40:59.763,3.006,-0.021,0.006,-0.008
1681818059771,2023-04-18T13:40:59.771,3.014,-0.024,0.008,-0.010
1681818059782,2023-04-18T13:40:59.782,3.025,-0.022,0.008,-0.007
1681818059792,2023-04-18T13:40:59.792,3.035,-0.022,0.010,-0.009
1681818059802,2023-04-18T13:40:59.802,3.045,-0.025,0.008,-0.005
1681818059812,2023-04-18T13:40:59.812,3.055,-0.028,0.011,-0.009
1681818059821,2023-04-18T13:40:59.821,3.064,-0.027,0.012,-0.012
1681818059831,2023-04-18T13:40:59.831,3.074,-0.025,0.010,-0.010
1681818059842,2023-04-18T13:40:59.842,3.085,-0.020,0.012,-0.006
1681818059852,2023-04-18T13:40:59.852,3.095,-0.022,0.011,-0.005
1681818059862,2023-04-18T13:40:59.862,3.105,-0.023,0.011,-0.009
1681818059872,2023-04-18T13:40:59.872,3.115,-0.023,0.012,-0.008
1681818059883,2023-04-18T13:40:59.883,3.126,-0.024,0.011,-0.011
1681818059891,2023-04-18T13:40:59.891,3.134,-0.023,0.009,-0.013
1681818059902,2023-04-18T13:40:59.902,3.145,-0.024,0.008,-0.009
1681818059912,2023-04-18T13:40:59.912,3.155,-0.027,0.007,-0.011
1681818059922,2023-04-18T13:40:59.922,3.165,-0.026,0.006,-0.012
1681818059931,2023-04-18T13:40:59.931,3.174,-0.028,0.005,-0.011
1681818059941,2023-04-18T13:40:59.941,3.184,-0.027,0.009,-0.014
1681818059952,2023-04-18T13:40:59.952,3.195,-0.024,0.012,-0.014
1681818059962,2023-04-18T13:40:59.962,3.205,-0.024,0.017,-0.014
1681818059972,2023-04-18T13:40:59.972,3.215,-0.027,0.016,-0.014
1681818059982,2023-04-18T13:40:59.982,3.225,-0.025,0.016,-0.014
1681818059991,2023-04-18T13:40:59.991,3.234,-0.025,0.018,-0.016
1681818060001,2023-04-18T13:41:00.001,3.244,-0.027,0.017,-0.016
1681818060012,2023-04-18T13:41:00.012,3.255,-0.025,0.013,-0.017
1681818060022,2023-04-18T13:41:00.022,3.265,-0.024,0.013,-0.015
1681818060032,2023-04-18T13:41:00.032,3.275,-0.028,0.010,-0.016
1681818060042,2023-04-18T13:41:00.042,3.285,-0.026,0.006,-0.013
1681818060051,2023-04-18T13:41:00.051,3.294,-0.026,0.007,-0.012
1681818060061,2023-04-18T13:41:00.061,3.304,-0.026,0.006,-0.013
1681818060072,2023-04-18T13:41:00.072,3.315,-0.024,0.003,-0.013
1681818060082,2023-04-18T13:41:00.082,3.325,-0.027,0.003,-0.013
1681818060092,2023-04-18T13:41:00.092,3.335,-0.024,0.003,-0.009
1681818060101,2023-04-18T13:41:00.101,3.344,-0.025,0.002,-0.007
1681818060111,2023-04-18T13:41:00.111,3.354,-0.024,0.004,-0.004
1681818060121,2023-04-18T13:41:00.121,3.364,-0.025,0.003,-0.007
1681818060132,2023-04-18T13:41:00.132,3.375,-0.023,0.004,-0.002
1681818060142,2023-04-18T13:41:00.142,3.385,-0.019,0.002,-0.004
1681818060151,2023-04-18T13:41:00.151,3.394,-0.021,0.002,-0.001
1681818060161,2023-04-18T13:41:00.161,3.404,-0.022,0.001,-0.002
1681818060171,2023-04-18T13:41:00.171,3.414,-0.021,-0.002,-0.005
1681818060182,2023-04-18T13:41:00.182,3.425,-0.021,-0.005,-0.004
1681818060192,2023-04-18T13:41:00.192,3.435,-0.022,-0.007,-0.003
1681818060202,2023-04-18T13:41:00.202,3.445,-0.022,-0.006,-0.002
1681818060211,2023-04-18T13:41:00.211,3.454,-0.025,-0.006,-0.005
1681818060221,2023-04-18T13:41:00.221,3.464,-0.023,-0.008,-0.003
1681818060231,2023-04-18T13:41:00.231,3.474,-0.023,-0.008,-0.005
1681818060242,2023-04-18T13:41:00.242,3.485,-0.022,-0.005,-0.003
1681818060252,2023-04-18T13:41:00.252,3.495,-0.021,-0.003,-0.000
1681818060261,2023-04-18T13:41:00.261,3.504,-0.023,-0.001,-0.003
1681818060271,2023-04-18T13:41:00.271,3.514,-0.023,0.004,-0.000
1681818060281,2023-04-18T13:41:00.281,3.524,-0.022,0.007,-0.004
1681818060291,2023-04-18T13:41:00.291,3.534,-0.023,0.010,-0.006
1681818060302,2023-04-18T13:41:00.302,3.545,-0.022,0.014,-0.006
1681818060310,2023-04-18T13:41:00.310,3.553,-0.022,0.014,-0.007
